Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2005:Q4,Next40,19918199,25113406,10532558,1711321,1637899,4283737,2017273,1318023,3612595,5195207,4233265,877662,84280
2005:Q4,Bottom50,1496650,5378995,3167401,950810,98496,208179,259208,125405,569496,3882345,2618729,1204441,59175
2006:Q1,TopPt1,6759280,6827582,707171,251100,2487303,104126,68868,1755592,1453422,68302,40491,5295,22516
2006:Q1,RemainingTop1,10444298,10970843,2380341,337892,3229524,403355,518835,2082796,2018100,526545,380508,34506,111531
2006:Q1,Next9,22974898,25086986,6599571,867268,4283034,4710567,2116013,2582664,3927868,2112087,1753529,199765,158793
2006:Q1,Next40,20109207,25402955,10474331,1727807,1799925,4328941,2068525,1302314,3701112,5293748,4316041,883727,93980
2006:Q1,Bottom50,1465543,5498620,3213220,976743,115181,207610,268348,133324,584193,4033076,2748972,1214292,69812
2006:Q2,TopPt1,6809998,6880879,709776,239085,2432155,115355,71180,1832649,1480678,70881,40853,4768,25260
2006:Q2,RemainingTop1,10431294,10957426,2393280,348994,3148292,424882,529931,2101041,2011006,526133,382884,35691,107558
2006:Q2,Next9,23071160,25267245,6719145,881686,4137050,4752943,2104160,2706690,3965571,2196085,1830968,199191,165926
2006:Q2,Next40,20129238,25512322,10588935,1741953,1720425,4367214,2050549,1303175,3740071,5383084,4397819,883429,101836
2006:Q2,Bottom50,1463785,5661847,3343359,997512,110684,206719,269218,140987,593368,4198061,2894126,1226532,77403
2006:Q3,TopPt1,7002545,7075583,706726,223805,2545433,126420,75259,1905165,1492775,73038,40682,4921,27435
2006:Q3,RemainingTop1,10628857,11153967,2393702,360840,3252006,447748,556240,2116918,2026513,525110,385267,37685,102158
2006:Q3,Next9,23530683,25797610,6796782,899237,4279517,4806177,2160513,2825973,4029412,2266928,1891058,203958,171912
2006:Q3,Next40,20329610,25790445,10681699,1756352,1741667,4412812,2100621,1302726,3794568,5460835,4450833,901260,108742
2006:Q3,Bottom50,1455680,5822325,3450814,1018044,115297,206105,278311,148641,605113,4366645,3018821,1263618,84206
2006:Q4,TopPt1,7273765,7351241,695921,220052,2776961,137399,80408,1942593,1497907,77476,40354,4951,32171
2006:Q4,RemainingTop1,10898155,11421785,2385286,369922,3484035,471435,590429,2114374,2006304,523630,384821,38229,100580
2006:Q4,Next9,24094556,26431393,6846696,903195,4623977,4865591,2247659,2909997,4034279,2336837,1938469,208330,190038
2006:Q4,Next40,20535747,26047090,10693042,1766475,1832326,4462460,2184568,1292104,3816115,5511342,4470662,917508,123172
2006:Q4,Bottom50,1434172,5929197,3490221,1038616,126349,205635,291690,156364,620322,4495025,3105945,1287698,101382
2007:Q1,TopPt1,7530761,7607626,677612,229730,2954542,148635,84053,1947710,1565344,76866,40898,4382,31586
2007:Q1,RemainingTop1,11133033,11643527,2355525,376382,3654655,494115,611630,2094705,2056515,510494,381281,38976,90237
2007:Q1,Next9,24555741,26955762,6852233,896185,4873228,4913850,2276643,2961289,4182334,2400020,2008309,202445,189266
2007:Q1,Next40,20574930,26114753,10511032,1779042,1887805,4504095,2210424,1272075,3950281,5539824,4513240,902412,124172
2007:Q1,Bottom50,1383359,5976138,3468899,1063293,134436,204802,298057,164108,642543,4592779,3198718,1291957,102104
2007:Q2,TopPt1,7700168,7778880,665374,229973,3066517,158682,89119,1991878,1577337,78712,40918,4297,33497
2007:Q2,RemainingTop1,11247734,11751639,2332364,384846,3751410,515632,646797,2095276,2025314,503905,380145,39203,84557
2007:Q2,Next9,24910254,27395759,6873665,898147,5007031,4974809,2373804,3051107,4217196,2485505,2067902,206371,211232
2007:Q2,Next40,20574665,26176322,10387532,1792017,1901297,4553451,2298911,1263348,3979767,5601657,4549007,916693,135957
2007:Q2,Bottom50,1336164,6066359,3496832,1086638,138896,207171,311750,171684,653387,4730195,3299321,1310401,120473
2007:Q3,TopPt1,7940133,8021374,648010,222633,3127741,168748,92904,2007358,1753979,81240,40416,4719,36105
2007:Q3,RemainingTop1,11429390,11927661,2297295,394517,3790809,536395,670075,2080503,2158066,498270,381088,41159,76023
2007:Q3,Next9,25296970,27821681,6831661,904079,5050845,5029633,2415383,3111653,4478427,2524711,2116895,213294,194522
2007:Q3,Next40,20632913,26286995,10265985,1800423,1881878,4598350,2334324,1246263,4159772,5654081,4575749,941821,136511
2007:Q3,Bottom50,1287896,6160858,3531875,1106290,140519,209348,319143,179244,674439,4872962,3405299,1354559,113104
2007:Q4,TopPt1,7870713,7956666,654908,237613,2943130,169787,91693,1941783,1917752,85953,42838,5763,37352
2007:Q4,RemainingTop1,11290695,11794544,2270864,383435,3613816,552500,662568,2067232,2244130,503849,381917,43939,77993
2007:Q4,Next9,25100934,27654512,6773960,911715,4798213,5070558,2409168,3037268,4653631,2553578,2135957,219592,198029
2007:Q4,Next40,20453269,26145564,10114955,1827603,1785510,4654257,2280853,1252188,4230198,5692294,4592697,959439,140158
2007:Q4,Bottom50,1089608,6062420,3429325,1114423,130014,209024,314563,179969,685102,4972812,3471576,1380744,120492
2008:Q1,TopPt1,7624644,7715676,648944,239833,2691467,170991,88434,1755814,2120193,91031,45323,6217,39491
2008:Q1,RemainingTop1,10981511,11491949,2200116,375058,3362232,567440,633851,1987119,2366132,510438,380976,47146,82316
2008:Q1,Next9,24446788,27028335,6576899,931930,4429011,5100711,2301570,2839677,4848537,2581548,2152228,215193,214127
2008:Q1,Next40,19952636,25644685,9780160,1855850,1648224,4702443,2135097,1220523,4302387,5692049,4598336,944651,149062
2008:Q1,Bottom50,926167,5971802,3352057,1120706,115853,208373,298909,180426,695478,5045636,3519735,1388801,137100
2008:Q2,TopPt1,7395134,7487834,646672,229943,2562456,171895,88836,1710513,2077519,92700,48986,7283,36431
2008:Q2,RemainingTop1,10831729,11326484,2132571,368388,3243936,583622,632535,1980859,2384574,494756,370107,47097,77552
2008:Q2,Next9,24108557,26695378,6392049,956863,4271241,5143382,2305465,2784108,4842270,2586821,2180509,218572,187740
2008:Q2,Next40,19596857,25271698,9492921,1874186,1585215,4759197,2107485,1229437,4223257,5674842,4583959,954142,136741
2008:Q2,Bottom50,916633,5928816,3335331,1119362,108503,208085,298045,180731,678760,5012183,3499310,1393358,119515
2008:Q3,TopPt1,6989842,7090413,642733,236671,2203680,172992,84859,1607187,2142290,100571,49649,7936,42986
2008:Q3,RemainingTop1,10424728,10939417,2078760,358247,2872495,598637,597823,1940866,2492589,514689,374910,51498,88281
2008:Q3,Next9,23338625,25935098,6252563,967181,3715784,5175236,2182380,2668319,4973635,2596473,2151414,217555,227504
2008:Q3,Next40,19085859,24736025,9213814,1893795,1382473,4808306,1941576,1219002,4277060,5650167,4539969,949776,160422
2008:Q3,Bottom50,703286,5815893,3253541,1121839,88568,207476,278999,180712,684758,5112607,3537935,1417048,157624
2008:Q4,TopPt1,6453468,6552837,636245,245693,1684935,174446,78939,1453770,2278809,99370,50640,8412,40318
2008:Q4,RemainingTop1,9937531,10447321,2029902,345997,2323715,611744,538265,1869790,2727908,509791,375985,54059,79747
2008:Q4,Next9,22223675,24704180,6125077,963750,2883710,5188948,1934055,2499038,5109602,2480506,2122797,215900,141809
2008:Q4,Next40,18425165,23980817,8973325,1895716,1082366,4844728,1674578,1190362,4319742,5555652,4481986,942516,131150
2008:Q4,Bottom50,572058,5641149,3131075,1115091,59966,206330,247322,180117,701248,5069090,3545853,1422902,100335
2009:Q1,TopPt1,6091884,6189592,629091,247964,1464036,176306,77690,1303093,2291411,97708,51634,7997,38077
2009:Q1,RemainingTop1,9648097,10162391,1977265,335015,2099164,622774,522308,1796393,2809472,514294,380103,57747,76444
2009:Q1,Next9,21640917,24072131,5990323,965957,2564198,5182713,1890801,2330248,5147891,2431214,2103178,202794,125242
2009:Q1,Next40,18022245,23495618,8730443,1896651,962391,4867274,1593559,1159492,4285808,5473373,4450688,899637,123048
2009:Q1,Bottom50,413812,5505590,3040189,1106469,47878,204595,238299,179019,689141,5091778,3591425,1409967,90386
2009:Q2,TopPt1,6128475,6230379,628614,241505,1786766,177493,82930,1115666,2197406,101904,53897,8271,39736
2009:Q2,RemainingTop1,9836916,10350178,1925049,326295,2473572,637278,563991,1695942,2728051,513262,375767,58795,78700
2009:Q2,Next9,22035917,24469640,5873423,979457,3180344,5210453,2097554,2119020,5009388,2433723,2104825,198722,130176
2009:Q2,Next40,18049451,23482578,8490799,1902439,1172147,4913610,1745293,1111975,4146315,5433127,4420504,884501,128122
2009:Q2,Bottom50,416734,5507899,3026900,1098819,65416,203874,259580,176868,676442,5091164,3591820,1398584,100760
2009:Q3,TopPt1,6371497,6476994,631712,230242,2115744,178637,88445,1066772,2165442,105497,54886,8837,41774
2009:Q3,RemainingTop1,10234301,10756109,1885667,318026,2856755,652171,608604,1677144,2757742,521808,377551,62199,82058
2009:Q3,Next9,22903124,25315826,5782301,993590,3806205,5242012,2321362,2055347,5115008,2412702,2078717,196474,137511
2009:Q3,Next40,18374179,23755271,8317851,1902393,1385774,4962797,1911002,1110731,4164723,5381092,4369602,876747,134743
2009:Q3,Bottom50,382944,5519092,3019874,1087016,83137,203276,282496,175969,667324,5136148,3608692,1414454,113002
2009:Q4,TopPt1,6342667,6451911,638799,243498,2157485,180125,90928,999020,2142056,109244,56925,9430,42889
2009:Q4,RemainingTop1,10268685,10790544,1870246,306325,2922599,665591,626379,1644801,2754603,521859,373598,64199,84062
2009:Q4,Next9,23076928,25493311,5765904,997816,3935520,5259001,2433070,1970599,5131400,2416383,2074722,193846,147815
2009:Q4,Next40,18406580,23747067,8178778,1921959,1424679,5002101,1966846,1101009,4151695,5340488,4332051,867786,140651
2009:Q4,Bottom50,330374,5480621,2963538,1090535,85232,202255,291106,174621,673333,5150247,3604005,1419756,126486
2010:Q1,TopPt1,6465335,6583211,650129,242811,2271409,179978,94007,1021967,2122909,117876,58614,9424,49838
2010:Q1,RemainingTop1,10480939,11013156,1862996,296041,3068931,687730,645582,1670873,2781003,532217,368105,65594,98518
2010:Q1,Next9,23625991,26032224,5760455,1004316,4188833,5360812,2541582,1986396,5189830,2406233,2055071,183088,168074
2010:Q1,Next40,18682738,23944771,8115739,1925232,1507467,5100933,2026558,1125282,4143559,5262033,4263345,833297,165391
2010:Q1,Bottom50,316055,5436404,2925205,1082403,91200,203773,300661,174837,658326,5120349,3565482,1401654,153213
2010:Q2,TopPt1,6335987,6457835,662913,244250,2036136,179901,92749,1122468,2119418,121849,61011,10006,50832
2010:Q2,RemainingTop1,10317040,10845793,1855855,284793,2826324,703556,622448,1748641,2804176,528753,360957,66426,101370
2010:Q2,Next9,23471063,25882675,5772901,1005887,3836986,5461098,2463274,2089099,5253431,2411612,2057445,180632,173535
2010:Q2,Next40,18481283,23699826,8019424,1923955,1377102,5168475,1910648,1180098,4120124,5218544,4223996,824395,170153
2010:Q2,Bottom50,286322,5385665,2923551,1072025,78372,203213,287543,176604,644357,5099344,3539664,1396993,162687
2010:Q3,TopPt1,6651326,6774528,667592,239914,2291570,179253,97501,1165948,2132750,123202,62588,10918,49696
2010:Q3,RemainingTop1,10715576,11241221,1835155,275181,3131730,723010,659814,1789875,2826455,525645,358194,69050,98401
2010:Q3,Next9,24379542,26773642,5720759,1015570,4334741,5596028,2663631,2129638,5313275,2394100,2042316,180946,170838
2010:Q3,Next40,18858106,24023088,7928989,1926885,1546345,5260850,2045350,1213276,4101393,5164982,4173268,825662,166052
2010:Q3,Bottom50,310303,5420719,2938094,1062816,91890,203713,306507,177483,640216,5110416,3528323,1417150,164943
2010:Q4,TopPt1,7008274,7128480,658765,258576,2529588,166307,98791,1216614,2199839,120207,59288,12428,48491
2010:Q4,RemainingTop1,11068309,11592225,1837896,279361,3364335,746332,692181,1784232,2887888,523915,355256,66379,102280
2010:Q4,Next9,25008860,27410857,5688946,1005411,4687642,5716048,2789903,2181778,5341129,2401997,2017836,200981,183180
2010:Q4,Next40,19134371,24321754,7842869,1924068,1682078,5366406,2197439,1211561,4097333,5187383,4135628,887490,164265
2010:Q4,Bottom50,229479,5306552,2792665,1068086,101792,208268,319390,173027,643324,5077072,3424272,1479533,173267
2011:Q1,TopPt1,7214286,7330374,647247,268920,2736217,154906,100694,1259599,2162791,116088,57460,12020,46608
2011:Q1,RemainingTop1,11307779,11825099,1825121,286211,3560083,761982,715966,1772872,2902865,517321,349369,63648,104304
2011:Q1,Next9,25378016,27810982,5596959,1007966,4983733,5759677,2842117,2225598,5394932,2432967,2037502,195387,200078
2011:Q1,Next40,19328661,24518300,7709352,1929008,1798164,5419126,2311385,1206474,4144791,5189639,4157677,870491,161471
2011:Q1,Bottom50,239531,5259661,2711282,1076158,109973,210554,328254,168329,655111,5020130,3349755,1486763,183612
2011:Q2,TopPt1,7322572,7433194,645621,293358,2751587,143623,99883,1296555,2202567,110622,54910,11998,43714
2011:Q2,RemainingTop1,11385491,11896318,1838279,290369,3542654,777253,721153,1756971,2969639,510827,346910,60145,103772
2011:Q2,Next9,25514731,27953760,5605870,999546,4947387,5798161,2832251,2262968,5507577,2439029,2039950,199085,199994
2011:Q2,Next40,19417549,24613506,7626359,1937192,1797445,5468785,2350865,1198729,4234131,5195957,4164869,879883,151205
2011:Q2,Bottom50,264136,5228681,2662935,1088609,107743,212703,326653,163433,666605,4964546,3282063,1501966,180517
2011:Q3,TopPt1,6989932,7097049,640033,285664,2336336,132939,94277,1349449,2258351,107117,52584,12322,42211
2011:Q3,RemainingTop1,10978138,11485154,1833662,300780,3048438,789449,679673,1750141,3083012,507016,343584,57619,105813
2011:Q3,Next9,24702803,27151571,5532690,1015819,4165707,5805125,2606627,2317733,5707870,2448768,2047782,203444,197542
2011:Q3,Next40,19146757,24363031,7620769,1937574,1534484,5496878,2187611,1196368,4389347,5216274,4177264,893486,145524
2011:Q3,Bottom50,263739,5192849,2664281,1090793,82000,213925,300040,158612,683198,4929110,3213358,1535303,180449
2011:Q4,TopPt1,7238832,7341901,632066,300598,2519826,121349,96119,1419447,2252496,103069,49833,12575,40661
2011:Q4,RemainingTop1,11248723,11754519,1838684,305976,3215707,806476,707638,1752530,3127507,505796,342941,54762,108093
2011:Q4,Next9,25179002,27627798,5499513,1008783,4416025,5858102,2696085,2390849,5758440,2448796,2048089,210016,190691
2011:Q4,Next40,19426981,24665863,7568555,1934233,1635652,5557552,2327225,1199438,4443209,5238883,4187770,912317,138796
2011:Q4,Bottom50,251588,5153020,2587147,1095064,88629,216538,310515,153799,701327,4901431,3156861,1566556,178014
2012:Q1,TopPt1,7605986,7705253,627728,327633,2877208,109476,98704,1449018,2215486,99267,47992,12277,38998
2012:Q1,RemainingTop1,11654072,12151977,1849940,309442,3572941,824946,748032,1729255,3117421,497905,336373,51137,110395
2012:Q1,Next9,25911190,28384212,5496566,996067,4964448,5924045,2862590,2420270,5720226,2473022,2063235,206132,203655
2012:Q1,Next40,19783301,25018253,7464067,1939441,1842069,5627619,2529378,1187441,4428239,5234952,4199252,900308,135392
2012:Q1,Bottom50,277927,5108686,2498604,1106333,104759,219549,327241,148407,703793,4830759,3070421,1575187,185151
2012:Q2,TopPt1,7607301,7702321,640266,328785,2809595,98289,98071,1527391,2199924,95021,45372,12485,37164
2012:Q2,RemainingTop1,11629916,12123977,1874857,317585,3460063,839533,741881,1733825,3156234,494061,334252,47478,112331
2012:Q2,Next9,25879792,28359001,5543257,1000849,4776516,5950808,2769416,2501874,5816281,2479209,2063803,211969,203437
2012:Q2,Next40,19849970,25099338,7517232,1934530,1789688,5670552,2519450,1191786,4476100,5249368,4204389,916509,128470
2012:Q2,Bottom50,348407,5136787,2546388,1107216,97512,221399,319781,143263,701229,4788380,3001916,1602027,184437
2012:Q3,TopPt1,7966911,8057074,651906,333469,3017998,86633,99740,1633577,2233751,90163,42045,12655,35463
2012:Q3,RemainingTop1,11984523,12480873,1911162,325065,3649818,856383,765672,1752674,3220099,496350,336592,45474,114284
2012:Q3,Next9,26521954,29002204,5608294,1002786,5063351,5998866,2842229,2612475,5874203,2480250,2053780,218021,208449
2012:Q3,Next40,20297780,25565155,7633226,1930199,1904655,5728542,2650955,1204406,4513172,5267375,4209820,933947,123608
2012:Q3,Bottom50,380968,5164548,2555193,1109087,105385,223893,327801,138026,705162,4783580,2955435,1640356,187789
2012:Q4,TopPt1,8102088,8189241,660047,343026,3068231,75133,99709,1698196,2244899,87153,40879,13475,32799
2012:Q4,RemainingTop1,12112778,12592654,1945332,332124,3663767,872024,772769,1745559,3261080,479876,326839,39285,113752
2012:Q4,Next9,26749505,29255833,5663717,1004409,5074219,6034310,2836894,2678333,5963951,2506328,2081049,227880,197399
2012:Q4,Next40,20540996,25843852,7723105,1932392,1923009,5777806,2709125,1201848,4576566,5302856,4228297,962145,112414
2012:Q4,Bottom50,459129,5170034,2541675,1115488,104426,226016,326818,132270,723341,4710906,2860007,1670119,180780
2013:Q1,TopPt1,8527413,8606357,681117,362660,3474695,60620,102384,1762711,2162169,78944,35229,12233,31482
2013:Q1,RemainingTop1,12577998,13076773,2011096,336958,4068617,903837,804574,1736763,3214928,498776,341443,40893,116440
2013:Q1,Next9,27862915,30326954,5820514,996280,5700560,6228316,2950274,2743610,5887401,2464039,2032125,222855,209059
2013:Q1,Next40,21280455,26555645,7906680,1933838,2157554,5937866,2884473,1198301,4536933,5275190,4219237,945405,110548
2013:Q1,Bottom50,452357,5194165,2523163,1123355,123281,232878,339002,126293,726193,4741808,2860053,1692388,189367
2013:Q2,TopPt1,8677093,8752306,709362,366729,3548152,45398,102605,1919599,2060461,75213,32633,12374,30206
2013:Q2,RemainingTop1,12658532,13154408,2070544,344293,4104875,924509,811197,1777528,3121462,495876,340027,36437,119412
2013:Q2,Next9,28242128,30727659,5973027,996668,5747484,6416780,2940347,2904885,5748469,2485532,2038045,230042,217445
2013:Q2,Next40,21611371,26919912,8102459,1925944,2189072,6080151,2945578,1223312,4453395,5308541,4236122,964039,108380
2013:Q2,Bottom50,540717,5258477,2584282,1123186,123519,241229,337711,120299,728251,4717760,2803094,1717300,197366
2013:Q3,TopPt1,9029918,9100874,730436,361208,3764096,29755,104789,2068140,2042450,70955,30248,12802,27905
2013:Q3,RemainingTop1,13028992,13521659,2139425,353905,4296634,946573,838529,1810686,3135907,492666,339170,33744,119752
2013:Q3,Next9,29096343,31603082,6079598,1007716,6039863,6619814,3039723,3055835,5760533,2506739,2053516,237472,215751
2013:Q3,Next40,22281577,27637373,8349907,1920845,2306807,6232225,3108115,1243705,4475769,5355796,4270683,985693,99420
2013:Q3,Bottom50,640871,5357721,2653697,1122788,131695,250027,347333,113863,738318,4716850,2762660,1760587,193603
2013:Q4,TopPt1,9313453,9389193,745172,368273,3988541,31630,115288,2107328,2032961,75740,31345,13265,31130
2013:Q4,RemainingTop1,13437237,13948235,2175884,352816,4576908,932708,867780,1898106,3144033,510998,348476,37226,125296
2013:Q4,Next9,29936322,32488280,6188304,1001708,6375250,6877036,3242388,3037630,5765964,2551958,2037680,244053,270225
2013:Q4,Next40,22755598,28197847,8535210,1932559,2402409,6361304,3233739,1254500,4478126,5442250,4296513,1018188,127549
2013:Q4,Bottom50,638717,5378363,2643212,1121978,139681,252007,361437,115299,744749,4739646,2723035,1777735,238876
2014:Q1,TopPt1,9600578,9678508,758127,384782,4210632,36136,123102,2099160,2066569,77930,32966,13214,31750
2014:Q1,RemainingTop1,13845456,14366804,2228447,349279,4853533,903804,871446,1957268,3203026,521348,354154,41383,125811
2014:Q1,Next9,30625953,33172546,6311425,984321,6706788,6989803,3319722,2971877,5888610,2546593,2027236,240050,279307
2014:Q1,Next40,23071449,28542951,8661248,1940104,2497528,6388687,3240334,1250345,4564705,5471502,4316845,1020660,133997
2014:Q1,Bottom50,683275,5373607,2621805,1120582,147516,249629,362053,116626,755397,4690332,2663215,1781536,245581
2014:Q2,TopPt1,9957574,10038523,778326,392675,4445448,40522,131937,2187843,2061772,80949,34859,13961,32129
2014:Q2,RemainingTop1,14301890,14831100,2281175,348187,5143282,875316,884414,2069159,3229566,529209,359337,43619,126253
2014:Q2,Next9,31411719,33966833,6442132,979673,7060484,7109562,3441297,3008180,5925505,2555114,2024725,248475,281914
2014:Q2,Next40,23427641,28973248,8837782,1955232,2601149,6420347,3291898,1277158,4589682,5545607,4348046,1058548,139013
2014:Q2,Bottom50,777248,5436425,2666900,1121777,156036,247417,367856,118146,758293,4659177,2610392,1799415,249370
2014:Q3,TopPt1,10045962,10127218,793036,409045,4381127,45176,138447,2279316,2081070,81256,36638,14792,29826
2014:Q3,RemainingTop1,14421614,14955640,2338575,345905,5101316,845088,874593,2181834,3268329,534026,365939,47887,120200
2014:Q3,Next9,31640801,34157723,6572750,971964,6895971,7215032,3447550,3048632,6005824,2516922,2022939,255146,238837
2014:Q3,Next40,23541391,29144355,9027802,1977885,2523027,6441456,3238146,1305156,4630884,5602964,4386150,1093313,123501
2014:Q3,Bottom50,809506,5428852,2663535,1128729,148087,244740,361847,119709,762205,4619347,2569427,1831843,218077
2014:Q4,TopPt1,10307750,10391119,801282,427233,4541749,49639,146310,2350794,2074113,83370,38366,15433,29571
2014:Q4,RemainingTop1,14766568,15309562,2385304,342503,5307221,815738,880758,2282247,3295791,542994,372905,50699,119390
2014:Q4,Next9,32227177,34742590,6673730,957618,7121738,7331356,3541146,3069556,6047445,2515413,2020509,263098,231806
2014:Q4,Next40,23766572,29445810,9159673,1992737,2582662,6469714,3261784,1326987,4652253,5679238,4424792,1129629,124817
2014:Q4,Bottom50,808179,5404340,2625723,1131670,152580,242355,364342,121244,766426,4596161,2530685,1850682,214794
2015:Q1,TopPt1,10550350,10634976,817266,442234,4656919,54238,154405,2411036,2098879,84627,39604,15140,29883
2015:Q1,RemainingTop1,15081607,15638329,2436884,339846,5462076,785452,885928,2375255,3352888,556722,380895,55179,120648
2015:Q1,Next9,32841022,35335867,6798895,946918,7269092,7440681,3620581,3079999,6179701,2494845,2003968,257704,233173
2015:Q1,Next40,24117294,29819396,9310006,2008697,2615156,6492676,3280749,1345402,4766710,5702102,4445060,1126533,130509
2015:Q1,Bottom50,859619,5411613,2609607,1134645,154608,239730,366653,122761,783610,4551994,2481934,1852555,217505
2015:Q2,TopPt1,10676433,10763617,839322,460968,4686531,59008,160610,2506596,2050583,87184,41171,15712,30301
2015:Q2,RemainingTop1,15239358,15810792,2498489,338035,5521465,754060,879203,2488243,3331297,571434,390129,58383,122922
2015:Q2,Next9,33136131,35641723,6955535,944488,7269147,7541223,3655961,3127742,6147628,2505592,2002186,266192,237214
2015:Q2,Next40,24213722,30009991,9490485,2042986,2596214,6509153,3248521,1375442,4747190,5796269,4494184,1163939,138146
2015:Q2,Bottom50,884977,5440734,2632717,1148610,152036,236813,362671,124424,783463,4555757,2460180,1873559,222018
2015:Q3,TopPt1,10446005,10535329,854743,456146,4338270,64143,162955,2560166,2098907,89324,42860,16487,29977
2015:Q3,RemainingTop1,15032047,15617436,2545450,339941,5161166,720490,840110,2575831,3434449,585389,398927,62870,123592
2015:Q3,Next9,32739320,35245202,7041150,954624,6619492,7622605,3535708,3133284,6338340,2505883,2002985,273809,229089
2015:Q3,Next40,24077798,29964673,9732927,2062800,2348942,6511909,3071315,1392096,4844683,5886875,4545891,1200699,140285
2015:Q3,Bottom50,884220,5448659,2680216,1150186,129234,233293,342127,125953,787651,4564439,2438594,1909273,216572
2015:Q4,TopPt1,10634094,10724248,863713,458018,4516012,68712,171074,2573398,2073321,90154,44995,15438,29721
2015:Q4,RemainingTop1,15317821,15917269,2586717,340322,5383325,690016,852445,2638325,3426118,599449,406073,65542,127834
2015:Q4,Next9,33282890,35785232,7112087,958009,6876648,7735204,3668287,3098586,6336411,2502342,2014466,263066,224810
2015:Q4,Next40,24445481,30379859,9928457,2081752,2421387,6536415,3129939,1395767,4886142,5934378,4608180,1177722,148476
2015:Q4,Bottom50,971263,5484148,2689330,1152524,134845,230695,348369,127311,801074,4512885,2419133,1878455,215297
2016:Q1,TopPt1,10776216,10867474,876493,475242,4592323,73442,178385,2548777,2122812,91259,46263,15295,29701
2016:Q1,RemainingTop1,15530785,16147101,2633623,338187,5492542,658560,855053,2676365,3492771,616315,415218,69925,131172
2016:Q1,Next9,33753275,36236020,7217147,952492,6959726,7839798,3744911,3026396,6495551,2482745,2000918,259814,222013
2016:Q1,Next40,24732592,30705292,10069121,2108978,2432960,6555169,3144257,1387042,5007765,5972700,4638674,1179939,154087
2016:Q1,Bottom50,1003854,5484745,2665007,1162345,135054,227835,349877,128450,816177,4480891,2382008,1887292,211591
2016:Q2,TopPt1,11037412,11130986,898886,503292,4730368,79355,185449,2632263,2101373,93573,47758,15718,30097
2016:Q2,RemainingTop1,15863809,16497521,2710855,334044,5670031,640746,859841,2779751,3502253,633711,425884,73281,134546
2016:Q2,Next9,34395987,36887310,7429107,939012,7148918,7924203,3844756,3065386,6535928,2491323,1998737,267123,225463
2016:Q2,Next40,25064524,31132226,10302019,2139413,2482261,6587450,3171195,1414004,5035884,6067702,4693849,1213226,160627
2016:Q2,Bottom50,1007223,5494531,2655148,1175964,138562,225083,352396,130142,817237,4487308,2368864,1907497,210947
2016:Q3,TopPt1,11236234,11332725,912595,487484,4871361,85197,193818,2692987,2089283,96490,49676,16450,30364
2016:Q3,RemainingTop1,16157233,16808071,2749647,337941,5850667,623375,873245,2868780,3504415,650838,434987,77616,138235
2016:Q3,Next9,34880265,37390224,7478936,956836,7343222,8013308,3979592,3081922,6536408,2509959,2006836,274573,228550
2016:Q3,Next40,25469100,31644995,10588248,2155412,2533720,6623165,3236282,1433683,5074485,6175894,4759319,1249006,167569
2016:Q3,Bottom50,1120980,5632663,2773209,1173518,142229,222465,359507,131735,830001,4511683,2357977,1943991,209715
2016:Q4,TopPt1,11187114,11285352,929765,474887,4889384,82202,187817,2699193,2022104,98237,49415,16981,31841
2016:Q4,RemainingTop1,16210577,16863866,2793488,338055,5976067,629681,861667,2841695,3423214,653289,443719,74882,134688
2016:Q4,Next9,35047698,37569394,7595173,978222,7428435,8045496,4008167,3101504,6412397,2521696,2033949,279022,208725
2016:Q4,Next40,25696088,31924379,10808754,2165285,2532704,6667718,3243927,1428180,5077811,6228291,4782546,1278423,167322
2016:Q4,Bottom50,1122924,5664698,2775771,1180279,139924,224914,366376,136040,841394,4541774,2349194,1987128,205452
2017:Q1,TopPt1,11462210,11562714,949071,474448,5126543,78822,183935,2712750,2037145,100504,49352,16568,34584
2017:Q1,RemainingTop1,16631431,17289011,2842023,336470,6348434,638106,876012,2818888,3429077,657580,451017,72934,133629
2017:Q1,Next9,35993730,38534235,7740376,994603,7891901,8097441,4187153,3128684,6494078,2540505,2064197,269276,207032
2017:Q1,Next40,26303261,32546597,10987037,2184906,2663742,6726482,3372979,1425045,5186405,6243336,4805696,1264369,173271
2017:Q1,Bottom50,1202454,5758821,2800460,1194775,149230,227975,386487,140436,859458,4556367,2336066,2007302,212999
2017:Q2,TopPt1,11718911,11822078,971862,464669,5239533,75526,178754,2888843,2002891,103167,49378,16850,36939
2017:Q2,RemainingTop1,16981738,17646841,2892672,335717,6585977,646003,879711,2894567,3412193,665103,458672,69889,136542
2017:Q2,Next9,36766976,39342854,7894983,1012000,8145425,8144070,4313638,3320574,6512164,2575878,2098176,270556,207146
2017:Q2,Next40,26713763,33021082,11192269,2192750,2720118,6781744,3455967,1474574,5203661,6307319,4836995,1284066,186258
2017:Q2,Bottom50,1280596,5876362,2887577,1200933,151975,230886,401551,145825,857614,4595765,2330752,2041397,223616
2017:Q3,TopPt1,11877264,11983268,991703,450385,5376007,72219,174079,2931189,1987685,106004,49380,17270,39354
2017:Q3,RemainingTop1,17284895,17955188,2943722,335450,6852669,653904,887693,2887741,3394010,670293,467111,68257,134925
