Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1997:Q2,TopPt1,3637992,3691219,254247,171662,1243800,22712,39007,865322,1094468,53227,20802,2806,29619
1997:Q2,RemainingTop1,5109648,5316338,698801,183979,1717759,209743,291835,1066194,1148027,206691,152612,12987,41092
1997:Q2,Next9,11146740,12010235,2372248,558795,2089272,2701052,984168,1231922,2072778,863494,660639,113847,89008
1997:Q2,Next40,11078990,13324581,4368131,1128369,1019392,2785206,1167787,703741,2151956,2245591,1702074,455741,87776
1997:Q2,Bottom50,1075138,2937116,1401743,624160,100706,180261,180699,78387,371160,1861979,1095797,692657,73525
1997:Q3,TopPt1,3769465,3825310,257055,163832,1354284,23941,42139,884498,1099562,55845,21918,3054,30873
1997:Q3,RemainingTop1,5279210,5489621,710787,185780,1821673,218861,313743,1072783,1165994,210411,155337,13313,41761
1997:Q3,Next9,11518751,12421311,2401055,572434,2269757,2749603,1048549,1275143,2104770,902560,685919,119053,97588
1997:Q3,Next40,11347859,13642890,4417753,1142911,1101122,2808689,1260268,721930,2190217,2295032,1746116,464800,84116
1997:Q3,Bottom50,1104991,2989428,1426670,625038,108387,183766,189410,80974,375183,1884437,1107717,705585,71135
1997:Q4,TopPt1,3857657,3918378,262414,175359,1391341,25375,43447,919011,1101431,60720,22992,3529,34199
1997:Q4,RemainingTop1,5370421,5583313,737671,183662,1846700,226995,319404,1086093,1182788,212891,156125,12988,43778
1997:Q4,Next9,11753017,12688442,2486314,569677,2328049,2788275,1030399,1332276,2153451,935425,705465,126326,103634
1997:Q4,Next40,11470602,13813153,4440687,1159049,1138732,2825172,1272450,743495,2233568,2342551,1772452,480063,90036
1997:Q4,Bottom50,1095349,2983156,1403203,630214,112069,187012,189136,83330,378192,1887806,1097204,721260,69342
1998:Q1,TopPt1,4098352,4162518,266680,170334,1604365,26282,47274,920584,1126999,64165,24132,3217,36816
1998:Q1,RemainingTop1,5663782,5879376,756871,184827,2061457,238048,346669,1086325,1205179,215594,157240,12978,45376
1998:Q1,Next9,12345482,13309451,2535753,580341,2679226,2854203,1118806,1360482,2180640,963969,728426,124452,111091
1998:Q1,Next40,11874340,14240780,4518620,1173221,1282447,2860303,1391435,758268,2256486,2366440,1805745,467854,92841
1998:Q1,Bottom50,1158372,3035465,1421746,631339,125379,191022,200560,86204,379215,1877094,1093947,715543,67604
1998:Q2,TopPt1,4170067,4237750,272827,168943,1638584,28593,48263,938977,1141563,67683,25096,3653,38934
1998:Q2,RemainingTop1,5779915,6000470,784419,185438,2085423,262544,354234,1094045,1234368,220555,160461,13343,46751
1998:Q2,Next9,12615094,13616008,2612050,589174,2734635,2917500,1122516,1404174,2235959,1000914,750409,131988,118517
1998:Q2,Next40,12099382,14523345,4634829,1189729,1319243,2878333,1415233,776798,2309180,2423963,1846679,484116,93168
1998:Q2,Bottom50,1155229,3060770,1433920,634424,128996,194025,200789,88824,379792,1905542,1105493,734644,65405
1998:Q3,TopPt1,3974963,4046367,280457,145142,1435252,31138,46859,941798,1165721,71404,26113,3966,41325
1998:Q3,RemainingTop1,5604386,5828634,793144,190846,1856921,285473,341365,1095927,1264959,224248,163175,13605,47468
1998:Q3,Next9,12347849,13380326,2623682,618739,2398865,2967232,1019882,1434758,2317168,1032477,773630,137954,120893
1998:Q3,Next40,12068559,14545565,4749564,1207602,1213386,2887367,1335910,792263,2359473,2477007,1887292,495671,94044
1998:Q3,Bottom50,1210971,3135132,1522410,634400,119654,196661,189694,91687,380626,1924161,1114629,749523,60009
1998:Q4,TopPt1,4242565,4311026,293569,159022,1678187,31094,49814,940886,1158453,68460,25454,3891,39115
1998:Q4,RemainingTop1,6026632,6260586,835142,203713,2147085,301725,370867,1118712,1283342,233955,170273,14349,49333
1998:Q4,Next9,13194287,14244097,2758343,604935,2904572,3013874,1181299,1434639,2346434,1049810,787691,137961,124158
1998:Q4,Next40,12513557,15063069,4793597,1220520,1416152,2950698,1487053,800780,2394269,2549511,1935053,515649,98809
